t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
-9.96,	0,	0,	0,	0,	0,	0,	0,	0,	0
0.04,	62.8804964131,	-25.8417051421,	0,	102.433353846,	-137.631876923,	-41.5043692308,	109.694366176,	-111.380321142,	-41.5043692308
0.04,	61.2780095543,	-26.9295903983,	0,	105.929476923,	-149.098215385,	-31.9878153846,	111.113990065,	-119.009976835,	-31.9878153846
0.04,	61.2780095543,	-26.9295903983,	0,	109.4256,	-160.564553846,	-22.4712615385,	112.476828998,	-126.334446301,	-22.4712615385
0.04,	63.1246771671,	-24.7487666677,	0,	98.4288,	-158.325661538,	-33.1196307692,	99.9458149248,	-120.1216825,	-33.1196307692
0.04,	63.1246771671,	-24.7487666677,	0,	87.432,	-156.086769231,	-43.768,	87.9160414145,	-114.157429252,	-43.768
0.04,	63.1246771671,	-24.7487666677,	0,	76.4352,	-153.847876923,	-54.4163692308,	76.3674588446,	-108.431746133,	-54.4163692308
0.04,	56.2602323304,	-28.5757744135,	0,	78.0414769231,	-186.424984615,	-44.1115076923,	77.1051956302,	-136.511530649,	-44.1115076923
0.04,	56.2602323304,	-28.5757744135,	0,	79.6477538462,	-219.002092308,	-33.8066461538,	77.8134229443,	-163.468123784,	-33.8066461538
0.04,	64.6071083244,	-24.6660978513,	0,	105.673107692,	-236.141046154,	-40.2008615385,	102.269510052,	-174.369438439,	-40.2008615385
0.04,	64.6071083244,	-24.6660978513,	0,	131.698461538,	-253.28,	-46.5950769231,	125.747353675,	-184.834700508,	-46.5950769231
0.04,	64.9971270957,	-25.0028718633,	0,	128.421661538,	-285.227569231,	-32.1936,	120.171616612,	-209.111093823,	-32.1936
0.04,	64.9971270957,	-25.0028718633,	0,	125.144861538,	-317.175138462,	-17.7921230769,	114.818909031,	-232.416431407,	-17.7921230769
0.04,	64.9971270957,	-25.0028718633,	0,	121.868061538,	-349.122707692,	-3.39064615385,	109.680309754,	-254.789555486,	-3.39064615385
0.04,	72.4653549207,	-16.3857204495,	0,	129.934030769,	-359.329353846,	-19.8673230769,	115.935042022,	-255.051782393,	-19.8673230769
0.04,	72.4653549207,	-16.3857204495,	0,	138.0,	-369.536,	-36.344,	121.939584999,	-255.303520223,	-36.344
0.04,	31.6507956392,	17.2730426987,	0,	132.831507692,	-395.338338462,	-18.6354461538,	113.36628081,	-269.170702629,	-18.6354461538
0.04,	31.6507956392,	17.2730426987,	0,	127.663015385,	-421.140676923,	-0.926892307692,	105.135908787,	-282.483197739,	-0.926892307692
0.04,	30.5874369318,	-0.54956780842,	0,	143.288984615,	-422.995938462,	-4.48603076923,	117.154900375,	-272.986903618,	-4.48603076923
0.04,	30.5874369318,	-0.54956780842,	0,	158.914953846,	-424.8512,	-8.04516923077,	128.693132299,	-263.870461263,	-8.04516923077
0.04,	30.5874369318,	-0.54956780842,	0,	174.540923077,	-426.706461538,	-11.6043076923,	139.769834945,	-255.118676602,	-11.6043076923
0.04,	2.8971745741,	-12.6085966034,	0,	162.7552,	-460.0688,	-14.6896,	122.980634377,	-277.446118325,	-14.6896
0.04,	2.8971745741,	-12.6085966034,	0,	150.969476923,	-493.431138462,	-17.7748923077,	106.863001831,	-298.880462379,	-17.7748923077
0.04,	23.883011226,	60.1618605977,	0,	168.172676923,	-501.113476923,	-8.72972307692,	120.058874207,	-291.893814383,	-8.72972307692
0.04,	23.883011226,	60.1618605977,	0,	185.375876923,	-508.795815385,	0.315446153846,	132.726911687,	-285.186632307,	0.315446153846
0.04,	-34.5032275261,	50.902140925,	0,	180.524307692,	-513.956923077,	9.99138461538,	121.380199657,	-276.697744762,	9.99138461538
0.04,	-34.5032275261,	50.902140925,	0,	175.672738462,	-519.118030769,	19.6673230769,	110.487356108,	-268.548412719,	19.6673230769
0.04,	-34.5032275261,	50.902140925,	0,	170.821169231,	-524.279138462,	29.3432615385,	100.030226302,	-260.725053958,	29.3432615385
0.04,	69.5919348909,	6.62556581699,	0,	196.220061538,	-535.427323077,	16.9687384615,	123.19563126,	-260.733286398,	16.9687384615
0.04,	69.5919348909,	6.62556581699,	0,	221.618953846,	-546.575507692,	4.59421538462,	145.434420021,	-260.74118954,	4.59421538462
0.04,	28.9575279539,	-33.1355805774,	0,	240.564307692,	-561.668307692,	-6.984,	158.962884031,	-266.126053182,	-6.984
0.04,	28.9575279539,	-33.1355805774,	0,	259.509661538,	-576.761107692,	-18.5622153846,	171.95020948,	-271.295522277,	-18.5622153846
0.04,	-12.2571000604,	71.3596731977,	0,	253.730707692,	-608.405907692,	-5.87212307692,	159.034121406,	-287.968322458,	-5.87212307692
0.04,	-12.2571000604,	71.3596731977,	0,	247.951753846,	-640.050707692,	6.81796923077,	146.634676855,	-303.974210632,	6.81796923077
0.04,	-12.2571000604,	71.3596731977,	0,	242.1728,	-671.695507692,	19.5080615385,	134.731210086,	-319.339863279,	19.5080615385
0.04,	-10.4731590284,	32.5969569794,	0,	267.124923077,	-686.811692308,	15.3372307692,	152.877073475,	-319.773927699,	15.3372307692
0.04,	-10.4731590284,	32.5969569794,	0,	292.077046154,	-701.927876923,	11.1664,	170.297102329,	-320.190629543,	11.1664
0.04,	-37.8810651676,	31.7076796104,	0,	281.751630769,	-738.172676923,	21.1604923077,	152.05757686,	-340.909705177,	21.1604923077
0.04,	-37.8810651676,	31.7076796104,	0,	271.426215385,	-774.417476923,	31.1545846154,	134.54763241,	-360.800017785,	31.1545846154
0.04,	25.2703305443,	-1.74766524893,	0,	287.105107692,	-773.503507692,	17.3566769231,	145.22827695,	-345.560513222,	17.3566769231
0.04,	25.2703305443,	-1.74766524893,	0,	302.784,	-772.589538462,	3.55876923077,	155.48169571,	-330.930588842,	3.55876923077
0.04,	-47.1187720254,	22.4394325745,	0,	294.840123077,	-804.614030769,	11.3448615385,	139.751555154,	-347.539300601,	11.3448615385
0.04,	-47.1187720254,	22.4394325745,	0,	286.896246154,	-836.638523077,	19.1309538462,	124.650620221,	-363.483663889,	19.1309538462
0.04,	-47.1187720254,	22.4394325745,	0,	278.952369231,	-868.663015385,	26.9170461538,	110.153722685,	-378.790252646,	26.9170461538
0.04,	47.2370615784,	32.6995799957,	0,	276.209107692,	-885.406892308,	31.2360615385,	105.003525164,	-378.404781186,	31.2360615385
0.04,	47.2370615784,	32.6995799957,	0,	273.465846154,	-902.150769231,	35.5550769231,	100.059335543,	-378.034728585,	35.5550769231
0.04,	53.0320460498,	-33.8695046635,	0,	300.028430769,	-918.894646154,	40.1873230769,	123.678325194,	-380.342241475,	40.1873230769
0.04,	53.0320460498,	-33.8695046635,	0,	326.591015385,	-935.638523077,	44.8195692308,	146.352555259,	-382.557453848,	44.8195692308
0.04,	34.5680258129,	-40.1848086551,	0,	333.790523077,	-958.997169231,	33.3785846154,	148.792701466,	-391.286848348,	33.3785846154
0.04,	34.5680258129,	-40.1848086551,	0,	340.990030769,	-982.355815385,	21.9376,	151.135241824,	-399.667067068,	21.9376
0.04,	34.5680258129,	-40.1848086551,	0,	348.189538462,	-1005.71446154,	10.4966153846,	153.384080569,	-407.712077039,	10.4966153846
0.04,	-10.4910263684,	-28.7801005013,	0,	355.389046154,	-1022.45833846,	12.4525538462,	153.740603676,	-408.628919824,	12.4525538462
0.04,	-10.4910263684,	-28.7801005013,	0,	362.588553846,	-1039.20221538,	14.4084923077,	154.082865859,	-409.509088897,	14.4084923077
0.04,	40.2241163228,	34.6693665667,	0,	369.788061538,	-1055.94609231,	11.8087384615,	156.440043262,	-407.816072525,	11.8087384615
0.04,	40.2241163228,	34.6693665667,	0,	376.987569231,	-1072.68996923,	9.20898461538,	158.702933569,	-406.190776807,	9.20898461538
0.04,	53.6020256865,	4.1289080293,	0,	384.187076923,	-1089.43384615,	3.94153846154,	161.410424638,	-405.85211126,	3.94153846154
0.04,	53.6020256865,	4.1289080293,	0,	391.386584615,	-1106.17772308,	-1.32590769231,	164.009616065,	-405.526992335,	-1.32590769231
0.04,	53.6020256865,	4.1289080293,	0,	398.586092308,	-1122.9216,	-6.59335384615,	166.504839834,	-405.214878166,	-6.59335384615
0.04,	-32.8237573052,	-57.1519087916,	0,	405.7856,	-1148.47963077,	-12.6435692308,	165.443223333,	-415.82806893,	-12.6435692308
0.04,	-32.8237573052,	-57.1519087916,	0,	412.985107692,	-1174.03766154,	-18.6937846154,	164.424071492,	-426.016732063,	-18.6937846154
0.04,	-65.9225990183,	-23.3174249767,	0,	420.184615385,	-1198.15507692,	-17.4923076923,	162.121732057,	-433.061478548,	-17.4923076923
0.04,	-65.9225990183,	-23.3174249767,	0,	427.384123077,	-1222.27249231,	-16.2908307692,	159.911486198,	-439.824435175,	-16.2908307692
0.04,	-65.9225990183,	-23.3174249767,	0,	434.583630769,	-1246.38990769,	-15.0893538462,	157.789650174,	-446.316873536,	-15.0893538462
0.04,	-1.41497403268,	0.517766626864,	0,	441.783138462,	-1244.02486154,	-34.9937230769,	158.33299259,	-426.173043622,	-34.9937230769
0.04,	-1.41497403268,	0.517766626864,	0,	448.982646154,	-1241.65981538,	-54.8980923077,	158.85460131,	-406.834966904,	-54.8980923077
0.04,	-6.58072101934,	46.3897545363,	0,	456.182153846,	-1264.64676923,	-60.1415384615,	159.148715802,	-410.773453739,	-60.1415384615
0.04,	-6.58072101934,	46.3897545363,	0,	463.381661538,	-1287.63372308,	-65.3849846154,	159.431065713,	-414.5544011,	-65.3849846154
0.04,	12.1844911829,	77.2248302563,	0,	470.581169231,	-1299.10498462,	-67.7835076923,	160.452730117,	-405.895642923,	-67.7835076923
0.04,	12.1844911829,	77.2248302563,	0,	477.780676923,	-1310.57624615,	-70.1820307692,	161.433527944,	-397.583235073,	-70.1820307692
0.04,	12.1844911829,	77.2248302563,	0,	484.980184615,	-1322.04750769,	-72.5805538462,	162.375093858,	-389.603323536,	-72.5805538462
0.04,	31.3806457531,	-36.0990042969,	0,	492.179692308,	-1320.26707692,	-83.3187692308,	164.046843319,	-373.753937228,	-83.3187692308
0.04,	31.3806457531,	-36.0990042969,	0,	499.3792,	-1318.48664615,	-94.0569846154,	165.651722801,	-358.538526373,	-94.0569846154
0.04,	-30.7280188963,	46.4467616603,	0,	506.578707692,	-1347.72529231,	-107.620430769,	164.708060517,	-370.408215159,	-107.620430769
0.04,	-30.7280188963,	46.4467616603,	0,	513.778215385,	-1376.96393846,	-121.183876923,	163.802144725,	-381.803116394,	-121.183876923
0.04,	24.8344253011,	38.7696928746,	0,	520.977723077,	-1379.40689231,	-123.403323077,	165.154963333,	-367.325439715,	-123.403323077
0.04,	24.8344253011,	38.7696928746,	0,	528.177230769,	-1381.84984615,	-125.622769231,	166.453669196,	-353.426870104,	-125.622769231
0.04,	24.8344253011,	38.7696928746,	0,	535.376738462,	-1384.2928,	-127.842215385,	167.700426825,	-340.084243277,	-127.842215385
0.04,	-68.3392188703,	-21.0149029266,	0,	542.576246154,	-1391.14190769,	-130.061661538,	165.170368382,	-333.896613048,	-130.061661538
0.04,	-68.3392188703,	-21.0149029266,	0,	549.775753846,	-1397.99101538,	-132.281107692,	162.741512276,	-327.956488028,	-132.281107692
0.04,	0.686990781237,	45.503992141,	0,	556.975261538,	-1398.3872,	-134.500553846,	163.170858801,	-313.398406052,	-134.500553846
0.04,	0.686990781237,	45.503992141,	0,	564.174769231,	-1398.78338462,	-136.72,	163.583031465,	-299.422647355,	-136.72
0.04,	-23.6027508825,	10.5446421776,	0,	571.374276923,	-1420.13833846,	-138.939446154,	163.007127556,	-307.524711466,	-138.939446154
0.04,	-23.6027508825,	10.5446421776,	0,	578.573784615,	-1441.49329231,	-141.158892308,	162.454259803,	-315.302693012,	-141.158892308
0.04,	-23.6027508825,	10.5446421776,	0,	585.773292308,	-1462.84824615,	-143.378338462,	161.92350676,	-322.769555297,	-143.378338462
0.04,	61.9573192591,	18.1223764359,	0,	577.208492308,	-1472.2272,	-145.597784615,	149.70265126,	-318.13767372,	-145.597784615
0.04,	61.9573192591,	18.1223764359,	0,	568.643692308,	-1481.60615385,	-147.817230769,	137.97062998,	-313.691067406,	-147.817230769
0.04,	-58.6697134107,	-0.585812793863,	0,	577.0752,	-1489.87864615,	-150.036676923,	138.199263629,	-309.108449837,	-150.036676923
0.04,	-58.6697134107,	-0.585812793863,	0,	585.506707692,	-1498.15113846,	-152.256123077,	138.418751932,	-304.709136971,	-152.256123077
0.04,	-58.6697134107,	-0.585812793863,	0,	577.373292308,	-1516.97563077,	-154.475569231,	122.727134549,	-310.615716619,	-154.475569231
0.04,	18.9657074786,	-54.9477078501,	0,	569.239876923,	-1535.80012308,	-156.695015385,	110.768598697,	-318.460508884,	-156.695015385
0.04,	18.9657074786,	-54.9477078501,	0,	561.106461538,	-1554.62461538,	-158.914461538,	99.2884042791,	-325.991509458,	-158.914461538
0.04,	-53.4562328341,	-31.9113437806,	0,	560.988430769,	-1559.11003077,	-161.133907692,	93.0653092561,	-318.5343016,	-161.133907692
0.04,	-53.4562328341,	-31.9113437806,	0,	560.8704,	-1563.59544615,	-163.353353846,	87.091138034,	-311.375382056,	-163.353353846
0.04,	-42.1340194603,	-5.34605389699,	0,	568.936369231,	-1566.82670769,	-165.5728,	89.6654621958,	-302.236220007,	-165.5728
0.04,	-42.1340194603,	-5.34605389699,	0,	577.002338462,	-1570.05796923,	-167.792246154,	92.1368133911,	-293.462624439,	-167.792246154
0.04,	-25.9640626985,	15.7027809339,	0,	583.801846154,	-1602.60246154,	-170.011692308,	93.9403057321,	-312.33872084,	-170.011692308
0.04,	-25.9640626985,	15.7027809339,	0,	590.601353846,	-1635.14695385,	-172.231138462,	95.6716583795,	-330.459773384,	-172.231138462
0.04,	-25.9640626985,	15.7027809339,	0,	597.400861538,	-1667.69144615,	-174.450584615,	97.333756921,	-347.855983827,	-174.450584615
0.04,	6.17264711695,	45.7947138773,	0,	602.460676923,	-1688.58670769,	-176.670030769,	98.5447352981,	-352.169406996,	-176.670030769
0.04,	6.17264711695,	45.7947138773,	0,	607.520492308,	-1709.48196923,	-178.889476923,	99.70727454,	-356.310293238,	-178.889476923
0.04,	-19.8241734398,	-36.1307427232,	0,	620.764307692,	-1739.20553846,	-181.108923077,	107.64007939,	-372.037737679,	-181.108923077
0.04,	-19.8241734398,	-36.1307427232,	0,	634.008123077,	-1768.92910769,	-183.328369231,	115.255572046,	-387.136084342,	-183.328369231
0.04,	-4.97362450204,	37.4848618675,	0,	646.138707692,	-1791.09944615,	-185.547815385,	122.091765415,	-391.434771417,	-185.547815385
0.04,	-4.97362450204,	37.4848618675,	0,	658.269292308,	-1813.26978462,	-187.767261538,	128.654511049,	-395.561511008,	-187.767261538
0.04,	-4.97362450204,	37.4848618675,	0,	670.399876923,	-1835.44012308,	-189.986707692,	134.954746858,	-399.523181016,	-189.986707692
0.04,	32.1966488153,	-54.8918927818,	0,	694.652923077,	-1835.56615385,	-192.206153846,	154.127347244,	-385.858919025,	-192.206153846
0.04,	32.1966488153,	-54.8918927818,	0,	718.905969231,	-1835.69218462,	-194.4256,	172.533043614,	-372.741227514,	-194.4256
0.04,	-32.173792597,	-13.1927601327,	0,	738.584246154,	-1847.80283077,	-196.645046154,	183.235916012,	-369.985509127,	-196.645046154
0.04,	-32.173792597,	-13.1927601327,	0,	758.262523077,	-1859.91347692,	-198.864492308,	193.510673514,	-367.340019475,	-198.864492308
0.04,	1.08718245743,	30.7690381845,	0,	778.877415385,	-1896.60627692,	-201.083938462,	205.604030487,	-386.640745168,	-201.083938462
0.04,	1.08718245743,	30.7690381845,	0,	799.492307692,	-1933.29907692,	-203.303384615,	217.213653181,	-405.169441834,	-203.303384615
0.04,	1.08718245743,	30.7690381845,	0,	820.1072,	-1969.99187692,	-205.522830769,	228.358890968,	-422.956990633,	-205.522830769
0.04,	60.9663572419,	28.8875210127,	0,	811.261169231,	-1992.83052308,	-207.742276923,	213.17100008,	-426.808310475,	-207.742276923
0.04,	60.9663572419,	28.8875210127,	0,	802.415138462,	-2015.66916923,	-209.961723077,	198.590624828,	-430.505577523,	-209.961723077
0.04,	26.8876229021,	-30.8006508552,	0,	826.337107692,	-2031.11704615,	-212.181169231,	214.687595213,	-429.347342303,	-212.181169231
0.04,	26.8876229021,	-30.8006508552,	0,	850.259076923,	-2046.56492308,	-214.400615385,	230.140686782,	-428.235436491,	-214.400615385
0.04,	13.2590076683,	-12.7463501903,	0,	876.543507692,	-2072.89649231,	-216.620061538,	246.698473156,	-436.894179501,	-216.620061538
0.04,	13.2590076683,	-12.7463501903,	0,	902.827938462,	-2099.22806154,	-218.839507692,	262.593948075,	-445.20657279,	-218.839507692
0.04,	13.2590076683,	-12.7463501903,	0,	929.112369231,	-2125.55963077,	-221.058953846,	277.853603997,	-453.186470347,	-221.058953846
0.04,	31.354710849,	50.2926463824,	0,	932.241107692,	-2149.23273846,	-223.2784,	270.997237194,	-455.773489063,	-223.2784
0.04,	31.354710849,	50.2926463824,	0,	935.369846154,	-2172.90584615,	-225.497846154,	264.415125063,	-458.257027029,	-225.497846154
0.04,	-40.2598416357,	28.5082362702,	0,	958.821661538,	-2189.64972308,	-227.717292308,	274.741869165,	-454.860538344,	-227.717292308
0.04,	-40.2598416357,	28.5082362702,	0,	982.273476923,	-2206.3936,	-229.936738462,	284.655543502,	-451.599909205,	-229.936738462
0.04,	50.5218965076,	18.857840089,	0,	1000.35483077,	-2223.13747692,	-232.156184615,	292.648297314,	-448.85572108,	-232.156184615
0.04,	50.5218965076,	18.857840089,	0,	1018.43618462,	-2239.88135385,	-234.375630769,	300.321340974,	-446.221300479,	-234.375630769
0.04,	50.5218965076,	18.857840089,	0,	1036.51753846,	-2256.62523077,	-236.595076923,	307.687462888,	-443.692256702,	-236.595076923
0.04,	-30.0350355269,	57.5702852127,	0,	1027.17981538,	-2273.36910769,	-227.318523077,	285.214348798,	-439.715876872,	-227.318523077
0.04,	-30.0350355269,	57.5702852127,	0,	1017.84209231,	-2290.11298462,	-218.041969231,	263.640159271,	-435.898552235,	-218.041969231
0.04,	-52.3952961151,	-19.7857887121,	0,	1025.38006154,	-2306.85686154,	-202.151876923,	258.235191517,	-435.32816354,	-202.151876923
0.04,	-52.3952961151,	-19.7857887121,	0,	1032.91803077,	-2323.60073846,	-186.261784615,	253.046422473,	-434.780590393,	-186.261784615
0.04,	-11.6179056691,	-63.1326254079,	0,	1035.74030769,	-2340.34461538,	-206.307076923,	245.169235194,	-435.98879364,	-206.307076923
0.04,	-11.6179056691,	-63.1326254079,	0,	1038.56258462,	-2357.08849231,	-226.352369231,	237.607135405,	-437.148668757,	-226.352369231
0.04,	-11.6179056691,	-63.1326254079,	0,	1041.38486154,	-2373.83236923,	-246.397661538,	230.347519608,	-438.262148869,	-246.397661538
0.04,	16.5886780019,	21.130662306,	0,	1068.44775385,	-2390.57624615,	-252.464492308,	247.77754256,	-435.960558268,	-252.464492308
0.04,	16.5886780019,	21.130662306,	0,	1095.51064615,	-2407.32012308,	-258.531323077,	264.510364593,	-433.751031291,	-258.531323077
0.04,	62.7476063998,	27.0600064177,	0,	1105.38892308,	-2424.064,	-251.704,	265.923000111,	-431.392711629,	-251.704
0.04,	62.7476063998,	27.0600064177,	0,	1115.2672,	-2440.80787692,	-244.876676923,	267.279130209,	-429.128724753,	-244.876676923
0.04,	-54.3176902647,	13.8138030195,	0,	1117.9184,	-2457.55175385,	-253.168123077,	256.96040939,	-427.485145489,	-253.168123077
0.04,	-54.3176902647,	13.8138030195,	0,	1120.5696,	-2474.29563077,	-261.459569231,	247.054437404,	-425.907309394,	-261.459569231
0.04,	-54.3176902647,	13.8138030195,	0,	1123.2208,	-2491.03950769,	-269.751015385,	237.544704297,	-424.392586744,	-269.751015385
0.04,	-14.2993280693,	43.2831599998,	0,	1123.84184615,	-2507.78338462,	-253.624,	228.06714731,	-421.75967872,	-253.624
0.04,	-14.2993280693,	43.2831599998,	0,	1124.46289231,	-2524.52726154,	-237.496984615,	218.968692602,	-419.232087018,	-237.496984615
0.04,	18.0227785258,	43.6501118196,	0,	1117.52824615,	-2541.27113846,	-251.792738462,	204.273595732,	-416.79092091,	-251.792738462
0.04,	18.0227785258,	43.6501118196,	0,	1110.5936,	-2558.01501538,	-266.088492308,	190.166302736,	-414.447401447,	-266.088492308
0.04,	27.703896233,	10.6400863611,	0,	1125.57156923,	-2574.75889231,	-268.579938462,	198.046656937,	-413.518023781,	-268.579938462
0.04,	27.703896233,	10.6400863611,	0,	1140.54953846,	-2591.50276923,	-271.071384615,	205.611796971,	-412.625821222,	-271.071384615
0.04,	51.3132289296,	11.9972027617,	0,	1153.03581538,	-2608.24664615,	-283.332061538,	211.426680095,	-411.715022108,	-283.332061538
0.04,	51.3132289296,	11.9972027617,	0,	1165.52209231,	-2624.99052308,	-295.592738462,	217.008967895,	-410.84065496,	-295.592738462
0.04,	51.3132289296,	11.9972027617,	0,	1178.00836923,	-2641.7344,	-307.853415385,	222.367964182,	-410.001262497,	-307.853415385
0.04,	-64.6594522873,	18.1354581078,	0,	1188.01033846,	-2658.47827692,	-292.699938462,	220.488757985,	-408.949915519,	-292.699938462
0.04,	-64.6594522873,	18.1354581078,	0,	1198.01230769,	-2675.22215385,	-277.546461538,	218.684720036,	-407.94062242,	-277.546461538
