-0.16	0.08
-0.55	-0.08
0	0.08
-0.24	0.63
-0.08	0.31
5.18	2.04
0.55	-1.33
3.77	-0.08
4.16	-0.55
2.67	-0.31
3.45	0.08
1.96	1.57
-0.94	2.98
-0.63	3.22
-1.1	5.1
-0.16	2.83
0.39	2.59
1.02	2.43
1.49	1.41
1.73	1.49
2.04	1.81
1.49	0.55
0.71	1.49
0.55	1.65
0.16	1.73
0.55	2.67
0.31	1.26
0.39	1.65
0.78	3.3
1.73	2.98
0.86	2.59
0.55	2.51
0.31	2.51
0.39	2.98
0.55	2.83
0.71	2.51
0.63	2.43
0.63	2.28
0.55	2.35
0.47	2.28
0.71	2.35
0.63	2.12
0.39	2.35
0.55	2.28
0.24	2.12
0.08	2.2
0	1.65
0.94	2.35
0.71	1.73
0.55	2.59
1.33	3.06
0.63	2.2
0.71	2.9
0.78	2.35
0.55	2.59
0.86	3.53
0.08	3.45
0.55	3.53
0.63	2.9
0.31	2.67
0.39	2.35
0.39	2.75
0.39	2.98
0.55	2.59
