t,x,y,z,Gx,Gy,Gz,FillX,FillY,FillZ
0.04,	23.883011226,	60.1618605977,	0,	2017.68760305,	-1211.16476336,	479.082687023,	453.101531748,	-299.285569753,	479.082687023
0.04,	23.883011226,	60.1618605977,	0,	2024.41770992,	-1210.80305344,	484.101679389,	442.393693523,	-284.560431012,	484.101679389
0.04,	-34.5032275261,	50.902140925,	0,	2020.20461069,	-1209.19035115,	489.433648855,	419.273241414,	-269.593733936,	489.433648855
0.04,	-34.5032275261,	50.902140925,	0,	2015.99151145,	-1207.57764885,	494.765618321,	397.077607389,	-255.225704743,	494.765618321
0.04,	-34.5032275261,	50.902140925,	0,	2011.77841221,	-1205.96494656,	500.097587786,	375.769798725,	-241.432396718,	500.097587786
0.04,	69.5919348909,	6.62556581699,	0,	2022.57508397,	-1207.3229313,	494.48848855,	373.887489057,	-232.81374356,	494.48848855
0.04,	69.5919348909,	6.62556581699,	0,	2033.37175573,	-1208.68091603,	488.879389313,	372.080471776,	-224.539836529,	488.879389313
0.04,	28.9575279539,	-33.1355805774,	0,	2040.96629008,	-1211.99615267,	483.66540458,	365.646307,	-220.066293466,	483.66540458
0.04,	28.9575279539,	-33.1355805774,	0,	2048.56082443,	-1215.31138931,	478.451419847,	359.469508816,	-215.771692126,	478.451419847
0.04,	-12.2571000604,	71.3596731977,	0,	2043.88757252,	-1226.83945038,	485.278961832,	340.114122628,	-215.353376139,	485.278961832
0.04,	-12.2571000604,	71.3596731977,	0,	2039.21432061,	-1238.36751145,	492.106503817,	321.532951889,	-214.951792792,	492.106503817
0.04,	-12.2571000604,	71.3596731977,	0,	2034.5410687,	-1249.89557252,	498.934045802,	303.695027979,	-214.566272778,	498.934045802
0.04,	-10.4731590284,	32.5969569794,	0,	2045.11606107,	-1253.22241221,	497.395480916,	301.28029317,	-207.873509695,	497.395480916
0.04,	-10.4731590284,	32.5969569794,	0,	2055.69105344,	-1256.54925191,	495.856916031,	298.962147754,	-201.448457135,	495.856916031
0.04,	-37.8810651676,	31.7076796104,	0,	2048.76192366,	-1270.35975573,	501.346748092,	278.836454657,	-205.380295329,	501.346748092
0.04,	-37.8810651676,	31.7076796104,	0,	2041.83279389,	-1284.17025954,	506.836580153,	259.515789284,	-209.154859996,	506.836580153
0.04,	25.2703305443,	-1.74766524893,	0,	2047.80656489,	-1279.54320611,	500.521221374,	255.880791087,	-196.416600908,	500.521221374
